6867141,0.283697,0.431433
6897492,0.289711,0.419755
6927792,0.294581,0.408792
6958092,0.298393,0.401409
6988392,0.300357,0.395306
7018711,0.301088,0.389435
7048928,0.298269,0.386854
7079154,0.294730,0.382866
7109381,0.292279,0.379751
7139589,0.289978,0.377254
7169815,0.287973,0.375353
7200023,0.286203,0.373320
7230231,0.285293,0.373638
7260457,0.284622,0.373755
7290647,0.284340,0.375024
7320873,0.284192,0.375716
7351063,0.284077,0.376547
7381289,0.283912,0.377478
7411479,0.283139,0.378640
7441705,0.282009,0.380347
7471913,0.280945,0.382456
7502103,0.279932,0.384487
7532329,0.278857,0.387049
7562537,0.277709,0.389369
7592745,0.276928,0.391207
7622953,0.276335,0.392480
7653161,0.275869,0.393990
7683351,0.275521,0.395033
7713577,0.269940,0.398347
7743785,0.262607,0.401847
7774012,0.256063,0.405236
7804220,0.250217,0.407755
7834428,0.245487,0.410196
7864636,0.241612,0.412022
7894844,0.238563,0.413326
7925033,0.236386,0.414384
7955241,0.234834,0.415012
7985449,0.237043,0.414485
8015657,0.239860,0.413182
8045847,0.241350,0.412524
8076055,0.244070,0.411384
8106245,0.247788,0.409487
8136471,0.251581,0.406941
8166679,0.253935,0.406013
8196887,0.253242,0.408158
8227113,0.252644,0.409825
8257303,0.252224,0.411203
8287511,0.251953,0.412463
8317719,0.251684,0.413298
8347927,0.251276,0.413915
8378135,0.250974,0.414402
8408325,0.250580,0.414698
8438514,0.250167,0.415083
8468722,0.249744,0.415069
8498912,0.249439,0.415088
8529101,0.249063,0.415204
8559291,0.250586,0.416082
8589379,0.266413,0.434194
8619633,0.303388,0.513420
8649851,0.335551,0.694787
8680040,0.363796,0.980534
8710248,0.403264,1.184225
8740456,0.417472,1.259584
8770664,0.422589,1.283401
8800872,0.423435,1.292975
8831080,0.425513,1.296706
8861288,0.426673,1.297157
8891478,0.414588,1.242544
8921686,0.405512,1.174369
8951894,0.377882,0.949244
8982083,0.360406,0.797773
9012291,0.350100,0.722980
9042499,0.348180,0.692753
9072707,0.346900,0.680423
9102915,0.346326,0.675621
9133123,0.345167,0.671218
9163331,0.345153,0.668207
9193539,0.345004,0.667126
9223747,0.344729,0.665285
9253955,0.344584,0.663438
9284145,0.344132,0.662209
9314353,0.344138,0.660906
9344579,0.346098,0.639738
9374787,0.347738,0.616826
9404995,0.349317,0.598606
9435203,0.350453,0.583697
9465411,0.351314,0.575522
9495601,0.351939,0.570149
9525827,0.351313,0.569500
9556035,0.350304,0.584835
9586243,0.346041,0.692892
9616470,0.348997,0.937085
9646678,0.349795,1.095607
9676886,0.349413,1.163694
9707075,0.349999,1.189969
9737302,0.350659,1.203532
9767510,0.349196,1.209864
9797718,0.348080,1.213337
9827944,0.347932,1.214507
9858152,0.347359,1.214806
9888360,0.347400,1.215296
9918568,0.328475,1.212606
9948776,0.308939,1.206371
9978984,0.293778,1.200038
10009192,0.281783,1.195538
10039400,0.273369,1.191793
10069608,0.266456,1.189657
10099816,0.254844,1.184740
10130043,0.244433,1.179669
10160251,0.236788,1.176325
10190505,0.230720,1.172685
10220667,0.235071,1.153088
10250856,0.267421,0.996453
10281064,0.335970,0.657220
10311254,0.369875,0.489010
10341462,0.382371,0.429424
10371670,0.386593,0.407815
10401878,0.387812,0.400995
10432086,0.388271,0.397816
10462275,0.388279,0.394250
10492483,0.388646,0.390391
10522710,0.388860,0.389814
10552918,0.388859,0.388645
10583107,0.371902,0.398650
10613334,0.353177,0.408615
10643542,0.337480,0.418431
10673750,0.324161,0.425350
10703958,0.312400,0.430596
10734184,0.302025,0.434443
10764392,0.294565,0.437526
10794665,0.289829,0.438382
10824891,0.278558,0.442576
10855136,0.216505,0.458403
10885399,-1,-1
10915598,-1,-1
10945990,-1,-1
10976244,-1,-1
11006544,-1,-1
11036835,-1,-1
11067079,-1,-1
11097343,-1,-1
11127569,-1,-1
11157814,-1,-1
11188040,-1,-1
11218267,-1,-1
11248475,-1,-1
11278719,-1,-1
11308826,-1,-1
11338951,-1,-1
11369251,-1,-1
11399551,-1,-1
11429677,-1,-1
11459802,-1,-1
11489909,-1,-1
11520015,-1,-1
11550141,-0.060789,0.818403
11580229,-0.029267,0.911273
11610299,0.013091,0.986912
11640369,0.107175,1.087463
11670439,0.203595,1.154128
11700509,0.254671,1.194217
11730597,0.276107,1.213969
11760667,0.285452,1.224856
11790756,0.293003,1.231375
11821037,0.297294,1.233284
11851190,0.297833,1.233519
11881279,0.291362,1.223233
11911395,0.285058,1.217431
11941501,0.281572,1.214203
11971599,0.279591,1.212661
12001789,0.253172,1.174845
12032006,-1,-1
12062297,-1,-1
12092486,-1,-1
12122740,-1,-1
12152994,-1,-1
12183230,-1,-1
12213548,-1,-1
12243839,-1,-1
12274130,-1,-1
12304356,-1,-1
12334647,-1,-1
12364864,-0.113944,0.404463
12395072,-0.137737,0.350287
12425289,-0.154825,0.316140
12455525,-0.166909,0.290655
12485816,-0.178416,0.270026
12515923,-1,-1
12546029,-1,-1
12576173,-1,-1
12606399,-1,-1
12636626,-1,-1
12666815,-1,-1
12697042,-1,-1
12727250,-1,-1
12757458,-1,-1
12787684,-0.184163,0.250715
12817874,-0.184041,0.249655
12848100,-0.184698,0.249779
12878308,-1,-1
12908535,-1,-1
12938761,-1,-1
12968969,-1,-1
